,address,categories,city,country,latitude,longitude,name,postalCode,province,reviews.rating,reviews.text,reviews.title,reviews.username
11089,301 Reserve Ave,"Luxury Hotels,Restaurants,Hotels & Motels,Lodging,Grill Restaurants,Meeting Facilities",Roanoke,US,37.256149,-79.947005,Cambria Hotel & Suites,24016,VA,5.0,"The room was gorgeous with a nice view of the mountains. It was perfectly cleaned every day, and the luxurious shower provided a soothing way to relax on an otherwise packed business trip. Breakfast at the restaurant was delicious, with reasonable prices. I highly recommend trying some of the menu items as well as the buffet. And I was served... More","Gorgeous rooms, delicious breakfast served with a smile :)",Lars K
11155,Viale Cristoforo Colombo 33,"Hotels,Hotel",Washington,US,45.42665054,9.071522086,Best Western Hotel Goldenmile Milan,20090,DC,,"Ideal Hotel for business trips in the north area of Milano. Confortable, clean and big rooms and excellent service (restaurant and breakfast) Free parking area and good relation Price quality. The best rooms are in the internal area not infront the steet.",Great Business Hotel in the metropolitan area,Toni M
11169,6 Waterfront Dr,"Motels,Lodging,Resorts,Hotels",Danforth,US,45.706852,-67.85834,Rideout's Lakeside Lodge Cottages,4424,ME,0.0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,,xxxxxxxxxxxxxx
11170,24320 Rogers Clark Blvd,Hotels,Ruther Glen,US,37.93338,-77.47601,Days Inn Ruther Glen Kings Dominion Area,22546,VA,3.0,We just wanted away from everyone for a night. The stay was fine and we brought our Mastiff along. The bathrooms need serious deep cleaning or renovations. We did ask for a smoking room so we expected a smell issue but I don't think it should have been that bad. This place is fine for a one night stay but I don't think I will again.,Just Okay.,A Traveler
11224,Predio Paraiso Escondido S/n,Hotels,Virginia Beach,US,22.875315,-109.930688,Pueblo Bonito Sunset Beach Resort & Spa - All Inclusive,23450,VA,3.0,"Beautiful but not swimmable beach. Excellent views from the large balcony. Some communication issues with staff, Spanish would be a big plus for travelers. The room itself is in need of update. Furniture has significant wear tear.","Good view, tired d��cor.",W
11344,741 E Washington St,"Cocktail Lounges,Restaurants,Hotels,Casinos,Lodging,Hotels Motels,Motels",Charles Town,US,39.29304,-77.850866,Turf Motel,25414,WV,5.0,"Perfect overnight stay. Next door to casino offering free shuttle service. We had called at last minute girl taking reservation was very helpful friendly. Room was very clean had all we needed, located in the renovated section. The free breakfast was an added bonus. Rates were very reasonable. I would definitely stay here again.",casino fun,Linda H
11365,1140 Park Pl N E,"Hotels,Lodging,Motels,Halls Auditoriums & Ballrooms,,Convention Services & Facilities,Meeting & Event Planning Services,Corporate Lodging",Cedar Rapids,US,42.03019,-91.65231,Homewood Suites By Hilton,52402,IA,,this is a very nice hotel...especially if you have kids!,,Tonya Gosselink
11377,108 N Yellowstone Ave,"Hotels & Motels,RV Parks",Moorcroft,US,44.264012,-104.95052,Rangeland Court Motel & Rv,82721,Pine Haven,5.0,"When we first got there and checked in I was very impressed.. There wasn't a lot of rooms, but it was very clean, the beds we clean and the bathroom was very very clean. The service was great, if we ever go back that way would be happy to stay there again....",Awesome experience!!,445chyrl
11387,2030 Formosa Rd,Hotels,Troy,US,38.734557,-89.913938,Red Roof Inn St Louis - Troy,62294,IL,4.0,Staff was very friendly and accomadating...love the floors..no carpeting !!! Great value for the money.,family trip,phylis
11479,33 Peck,"Hotels,Accommodations & Lodging,Motels",New York,US,40.70806,-74.00145,Best Western Plus-seaport Inn,10038,Nyc,5.0,"Nice looking over the past few years. I know they remodled once before, not sure when but its quite a looker.",,popcorbjere
11483,3917 Ridgemont Dr,Hotels,Abilene,US,32.40399,-99.76546,Hampton Inn Abilene,79606,TX,5.0,Was a nice place to stay,Great for the price,Keri
